latitude	longitude	name
43.47346574484394	141.84011220729562	於札内駅
43.50256845776721	141.85558180482735	下徳富駅
43.54588359446407	141.87420326400922	新十津川駅
43.74486799039028	142.35837611412182	神楽岡駅
43.73108070424388	142.36570669566518	緑が丘駅
43.72107076370547	142.37142612598743	西御料駅
43.70261736442188	142.38187333019854	西瑞穂駅
43.68212253739657	142.3934983083645	西神楽駅
43.61788091321511	142.47963022403044	北美瑛駅
43.59123067339483	142.46173571497096	美瑛駅
43.537541719847056	142.4473254947867	美馬牛駅
43.46396940881985	142.46880487610747	上富良野駅
43.429636499737605	142.44188369265868	西中駅
43.41708209537983	142.4309129595824	ラベンダー畑駅
43.38765145723581	142.404994244947	鹿討駅
43.366561724354646	142.38656063575502	学田駅
43.34679725585125	142.39137781234783	富良野駅
